bathrooms,bedrooms,ber,latitude,longitude,monthly_price,is_apartment
,1.0,A3,53.36282969213042,-6.292734249363605,1895,True
1.0,1.0,A2,53.36282969213042,-6.292734249363605,2225,True
2.0,2.0,A3,53.36282969213042,-6.292734249363605,2588,True
2.0,3.0,A2,53.36282969213042,-6.292734249363605,3675,True
1.0,1.0,A3,53.37169587626374,-6.2336604104970945,2150,True
2.0,2.0,A3,53.37169587626374,-6.2336604104970945,3335,True
3.0,3.0,A3,53.37169587626374,-6.2336604104970945,4250,True
1.0,1.0,A3,53.34551330632709,-6.243459428241323,2400,True
1.0,2.0,A3,53.34551330632709,-6.243459428241323,3100,True
1.0,1.0,A2,53.255572445381546,-6.2010619476570525,2150,True
2.0,2.0,A2,53.255572445381546,-6.2010619476570525,2450,True
3.0,3.0,A2,53.255572445381546,-6.2010619476570525,3375,True
,1.0,A2,53.29360621462365,-6.136121698928179,1880,True
,1.0,B2,53.32525826504576,-6.2655581334284705,1850,True
,1.0,B2,53.32525826504576,-6.2655581334284705,2000,True
,1.0,B2,53.32525826504576,-6.2655581334284705,2100,True
1.0,1.0,A2,53.24267258817224,-6.191171328304307,1875,True
2.0,2.0,A2,53.24267258817224,-6.191171328304307,2250,True
1.0,1.0,A2,53.38693545299904,-6.10259279972712,2150,True
2.0,2.0,A2,53.38693545299904,-6.10259279972712,2500,True
2.0,2.0,A2,53.38693545299904,-6.10259279972712,2600,True
2.0,3.0,A2,53.38693545299904,-6.10259279972712,3300,True
1.0,1.0,A2,53.35389543450327,-6.406544272751518,1875,True
2.0,2.0,A2,53.35389543450327,-6.406544272751518,2250,True
2.0,3.0,A2,53.35389543450327,-6.406544272751518,3000,True
1.0,1.0,A2,53.31427821306829,-6.425069126931987,1800,True
2.0,2.0,A2,53.31427821306829,-6.425069126931987,2100,True
2.0,3.0,A2,53.31427821306829,-6.425069126931987,2700,True
1.0,1.0,A2,53.28906080866142,-6.233999498080863,2150,True
2.0,2.0,A2,53.28906080866142,-6.233999498080863,2350,True
2.0,3.0,A2,53.28906080866142,-6.233999498080863,3200,True
1.0,1.0,A2,53.27934714613909,-6.313134063107952,1875,True
1.0,1.0,A3,53.34747481688501,-6.233233248674509,2501,True
2.0,2.0,A3,53.34747481688501,-6.233233248674509,3051,True
1.0,1.0,B1,53.33739010497453,-6.272850320541352,2500,True
2.0,2.0,B1,53.33739010497453,-6.272850320541352,2850,True
2.0,2.0,B1,53.33739010497453,-6.272850320541352,2900,True
2.0,2.0,B1,53.33739010497453,-6.272850320541352,3100,True
1.0,1.0,B1,53.34185191360561,-6.245194894252535,2525,True
2.0,2.0,C3,53.3423558320207,-6.238760743384546,3075,True
,1.0,A3,53.349483149010894,-6.235875899678973,2125,True
1.0,1.0,A3,53.349483149010894,-6.235875899678973,2375,True
2.0,2.0,A3,53.349483149010894,-6.235875899678973,2850,True
2.0,2.0,A3,53.349483149010894,-6.235875899678973,2860,True
,1.0,A3,53.279045232208745,-6.212154505881244,1895,True
1.0,1.0,A3,53.279045232208745,-6.212154505881244,2095,True
2.0,2.0,A3,53.279045232208745,-6.212154505881244,2595,True
2.0,3.0,A3,53.279045232208745,-6.212154505881244,3400,True
,1.0,A2,53.2430228231531,-6.141970718959783,1850,True
1.0,1.0,A2,53.2430228231531,-6.141970718959783,2150,True
2.0,2.0,A2,53.2430228231531,-6.141970718959783,2595,True
2.0,3.0,A2,53.2430228231531,-6.141970718959783,3150,True
,1.0,A2,53.24550012955277,-6.145276549654739,1748,True
2.0,2.0,A2,53.24550012955277,-6.145276549654739,2650,True
1.0,1.0,A2,53.24559183638257,-6.144839855845504,2040,True
2.0,2.0,A2,53.24559183638257,-6.144839855845504,2500,True
,1.0,A2,53.349879212236544,-6.234250528696748,2000,True
1.0,1.0,A2,53.349879212236544,-6.234250528696748,2350,True
2.0,2.0,A2,53.349879212236544,-6.234250528696748,2750,True
2.0,2.0,A2,53.349879212236544,-6.234250528696748,3500,True
1.0,1.0,A1,53.3193336810545,-6.248271768122493,2500,True
2.0,2.0,A1,53.3193336810545,-6.248271768122493,4000,True
,1.0,A2,53.28128557824962,-6.1952953935712,1975,True
1.0,1.0,A2,53.28128557824962,-6.1952953935712,2150,True
2.0,2.0,A2,53.28128557824962,-6.1952953935712,2650,True
2.0,3.0,A2,53.28128557824962,-6.1952953935712,3400,True
2.0,2.0,A3,53.32879473356792,-6.281755823596967,2685,True
2.0,2.0,A3,53.34405828419555,-6.234840952683702,3880,True
2.0,2.0,A2,53.379200519817374,-6.204144391817465,2644,True
